ts	phase	decision	why	evidence	result
2026-08-30T16:48:10Z	direction	Adopted the full Oracle review across codex-hxrust, haxe.rust, and the clean upstream Codex reference	The port needs one upstream-shaped architecture and reusable compiler fixes instead of consumer workarounds	docs/decision-records/2026-08-29-cross-repo-direction-oracle.md	adopted
2026-08-30T16:48:10Z	consumer	Replaced the production fake session dependency with a typed session contract and transport-backed implementation	Production navigation must exercise the app-server boundary while tests keep a controllable fake	harness/check-tui-app-server-session-contract.sh	interpreter and generated Cargo contract green
2026-08-30T16:48:10Z	compiler	Reduced inherited interface failures to a framework-neutral haxe.rust fixture and fixed shared lowering	The consumer exposed generic visibility and self-to-interface coercion defects that belong to the compiler	test/semantic_diff/inherited_interface_self_coercion/Main.hx in the inherited-interface worktree	focused semantic and structural gates green
2026-08-30T16:48:10Z	package-smoke	Superseded the initial compiler-defect hypothesis with a raw-Haxe classpath diagnosis	The reviewed raw Haxe binary ignored the Lix-only library hint and used ambient sources without Rust std overrides	scripts/ci/package-smoke.sh and test/scripts/release-workflow.test.js in the package-smoke worktree	source and installed-package compiler phases green; complete smoke still running
2026-08-30T16:50:26Z	package-smoke	Completed the package smoke with explicit reviewed checkout roots	Both source and installed-package paths must pass before compiler feature work resumes	scripts/ci/package-smoke.sh	complete package smoke green
2026-08-30T17:07:10Z	package-smoke	Opened the isolated haxe.rust baseline PR with public agent ownership	The compiler fix must rebase onto a green, reviewable upstream base before consumer admission	https://github.com/fullofcaffeine/reflaxe.rust/pull/13	local package, release, and hook suites green; hosted checks running
2026-08-30T17:09:21Z	compiler	Created a local compiler candidate before rebasing onto the package baseline	A clean commit makes the semantic change reviewable while keeping the final exact review tied to the rebased head	haxe.rust commit 6bda9487	focused compiler and consumer gates green; full validation deferred until rebase
2026-08-30T17:39:55Z	compiler	Corrected the semantic-diff invocation to use the repository Lix toolchain	Direct Python execution selected the ambient raw Haxe binary and omitted dependency classpaths; the npm entry point supplies the reviewed repository environment	npm run test:semantic-diff -- --case inherited_interface_self_coercion --case generic_interface_specialization --timeout 900	both semantic cases green; the earlier missing-Sys result was an invalid invocation, not a product failure
2026-08-30T17:51:18Z	compiler	Regenerated line-bound policy evidence after the semantic lowering change	The compiler edits shifted reviewed raw-authority and Dynamic-boundary line numbers without adding or widening any escape boundary	docs/rust-raw-authority-inventory.json and scripts/lint/dynamic_allowlist.txt	policy, focused raw-authority snapshot, pre-commit hooks, and amended compiler commit 1561e9ab green
2026-08-30T18:08:50Z	upstream-reference	Made the clean pinned Codex checkout the only current architecture oracle	The new policy distinguished the clean checkout from the optional dirty checkout, but two inherited sentences still named the dirty path as the active source	AGENTS.md, README.md, and reference/upstream-codex.pin.json	current policy consistently selects ../codex-upstream-reference at b8c86376
2026-08-30T18:34:44Z	package-smoke	Extended PR 13 with the recurring haxe.rust conformance-shard timeout repair	Current origin/main and both first PR runs reached the final policy guard without a test failure, then GitHub cancelled them at exactly 75 minutes	haxe.rust runs 31859751374, 31759701916, 33324330184, and 33324320741; Bead haxe_rust-fq0y	only the shard budget and its focused contract changed; replacement PR head 392126c2 pushed for hosted proof
2026-08-30T18:55:38Z	package-smoke	Used the feature branch tracked pre-commit hook for the timeout commit	The shared Git common directory carries an unpublished-main hook that invokes CI supply-chain scripts absent from fetched origin/main; replacing that shared hook would disturb unrelated local work	haxe.rust branch scripts/hooks/pre-commit and shared common hook comparison	branch hook, gitleaks, path/name/numeric/Dynamic guards, docs tracker, and focused workflow contract passed; shared hook was preserved
2026-08-30T19:14:01Z	compiler	Accepted a focused equivalent-green rerun for the full-harness timeout cases	The earlier full harness reached representation planning after ten green stages and stopped only because its nested commands had a fixed 180-second limit on a busy interactive host	dynamic_access_iterator_boundary and map_key_value_iterator_manual with a 900-second semantic-diff budget	both cases passed independently in 270.38s and 302.00s; no semantic failure remained
2026-08-30T19:25:43Z	consumer	Documented that the new session seam does not yet perform wire-level bootstrap	The transport-backed implementation can send turn traffic through injected line or process transports, but bootstrap currently only adopts caller-supplied identifiers	docs/tui-app-server-session-contract.md, TransportTuiAppServerSession.hx, and Bead codex-hxrust-aboy	the current slice stays bounded and truthful; initialize plus thread start or resume remains owned by the vertical tracer
2026-08-30T19:26:59Z	consumer	Re-ran the affected deterministic interpreter regressions against the session abstraction	Moving the fake to test scope and changing every transport callback to the interface must preserve existing session, pump, prompt, and shell behavior	TuiAppServerSessionContractHarness, TuiFakeAppServerSessionHarness, TuiAppServerEventPumpHarness, TuiPromptSubmitEnvelopeHarness, and TuiLiveShellRunnerHarness	all five interpreter harnesses passed at reduced host priority
2026-08-30T19:29:54Z	consumer	Checked the complete Haxe source tree with the repository formatter	The new interface, implementation, fixture move, and documentation comments must preserve the project-wide source contract	npm run format:haxe:check	2,154 files and 206,908 lines passed without formatting drift
2026-08-30T19:31:35Z	compiler	Recorded inherited-shim duplication as a generic haxe.rust output-quality gap	The session tracer generated roughly 2,000 Rust lines for a small test-only subclass and roughly 2,300 for the 658-line base after trait adapters; correctness is green but the output is not yet hand-written quality	haxe.rust Bead haxe_rust-igkk	no existing Bead, GitHub issue, pull request, branch, or worktree owned the gap; follow-up is linked to haxe_rust-uwml
2026-08-30T19:33:45Z	upstream-reference	Kept the reviewed Codex pin after the remote main branch advanced	An exact reviewed anchor must not move silently, and the commits after the pin did not change the app-server session, session-flow, thread-routing, or thread-processor modules used by this slice	b8c86376a258e55efc8e5ecfbabc21c16c07d814 versus origin/main 94cbbddafc1776d5e377bca1b05932c697e82238	the clean detached checkout still matches the recorded pin; later upstream refresh remains an explicit admission task
2026-08-30T19:48:27Z	consumer	Passed the complete public pre-commit suite	The session and policy changes must keep formatting, production source names, import ownership, and public secret scanning intact	npm run public:precommit	2,154-file formatting, source-name and import guards, 865-commit patch-stream fallback, and the 427 MB current-tree scan all passed
2026-08-30T19:59:24Z	package-smoke	Merged the haxe.rust package and CI baseline before rebasing semantic work	Both push and pull-request runs completed every required shard with no failure, and the conformance jobs passed beyond the former 75-minute cancellation point	PR 13, runs 33328466080 and 33328468340, merge 2a34105cb1a16c751f9d4610f2b2c09176fcfd4b	24 successful checks; haxe_rust-fq0y closed with exact hosted evidence; semantic branch rebased cleanly to c108fc7a
2026-08-30T20:04:24Z	package-smoke	Repaired the public reviewer-provenance record on merged PR 13	A fresh-context Codex reviewer found the implementation green but noted that the PR named the owner without recording the independent reviewer role	PR 13 comment 5470944751 and fresh-context audit	post-merge note records the reviewer role, exact merge commit, no branch modification, and GO result
2026-08-30T20:04:24Z	compiler	Accepted the rebased inherited-interface semantic patch for hosted review	A fresh-context reviewer compared c108fc7a with provisional 1561e9ab and independently checked the visibility and self-coercion scopes against the generic fixture	fresh-context audit of RustCompiler.hx and inherited_interface_self_coercion	conditional GO: exact patch unchanged; hosted PR, green CI, merge, and exact merged-commit consumer replay remain required
